订单号,下单时间,渠道,菜品名称,数量,实收金额
QZ-20260604-20,2026-06-04 21:25:00,美团外卖,双人套餐,1,55.76
QZ-20260604-21,2026-06-04 10:32:00,饿了么,招牌牛肉面,1,32
QZ-20260604-22,2026-06-04 11:39:00,堂食,红烧肥肠面,1,36
QZ-20260604-23,2026-06-04 12:46:00,堂食,番茄鸡蛋面,2,43.2
QZ-20260604-24,2026-06-04 13:53:00,堂食,酸辣粉,1,20
QZ-20260604-25,2026-06-04 10:00:00,美团外卖,招牌拌面,1,22.96
QZ-20260604-26,2026-06-04 11:07:00,饿了么,小酥肉,1,21.32
QZ-20260604-27,2026-06-04 19:14:00,堂食,卤蛋,1,3
QZ-20260604-28,2026-06-04 20:21:00,堂食,冰豆浆,1,6
QZ-20260604-29,2026-06-04 17:28:00,堂食,柠檬茶,1,10
QZ-20260604-30,2026-06-04 21:35:00,美团外卖,双人套餐,1,68
QZ-20260605-01,2026-06-05 11:15:00,堂食,招牌牛肉面,2,64
QZ-20260605-02,2026-06-05 12:22:00,堂食,红烧肥肠面,1,36
QZ-20260605-03,2026-06-05 13:29:00,堂食,番茄鸡蛋面,1,24
QZ-20260605-04,2026-06-05 10:36:00,美团外卖,酸辣粉,1,16.4
QZ-20260605-05,2026-06-05 11:43:00,饿了么,招牌拌面,1,28
QZ-20260605-06,2026-06-05 12:50:00,堂食,小酥肉,1,26
QZ-20260605-07,2026-06-05 20:57:00,堂食,卤蛋,1,3
QZ-20260605-08,2026-06-05 17:04:00,堂食,冰豆浆,1,6
QZ-20260605-09,2026-06-05 18:11:00,美团外卖,柠檬茶,1,8.2
QZ-20260605-10,2026-06-05 21:18:00,饿了么,双人套餐,1,55.76
QZ-20260605-11,2026-06-05 13:25:00,堂食,招牌牛肉面,1,32
QZ-20260605-12,2026-06-05 10:32:00,堂食,红烧肥肠面,2,72
QZ-20260605-13,2026-06-05 11:39:00,堂食,番茄鸡蛋面,1,24
QZ-20260605-14,2026-06-05 12:46:00,美团外卖,酸辣粉,1,20
QZ-20260605-15,2026-06-05 13:53:00,饿了么,招牌拌面,1,22.96
QZ-20260605-16,2026-06-05 10:00:00,堂食,小酥肉,1,26
QZ-20260605-17,2026-06-05 18:07:00,堂食,卤蛋,1,3
QZ-20260605-18,2026-06-05 19:14:00,堂食,冰豆浆,1,6
QZ-20260605-19,2026-06-05 20:21:00,美团外卖,柠檬茶,1,8.2
QZ-20260605-20,2026-06-05 21:28:00,饿了么,双人套餐,1,68
QZ-20260605-21,2026-06-05 11:35:00,堂食,招牌牛肉面,1,32
QZ-20260605-22,2026-06-05 12:42:00,堂食,红烧肥肠面,1,32.4
QZ-20260605-23,2026-06-05 13:49:00,堂食,番茄鸡蛋面,2,48
QZ-20260605-24,2026-06-05 10:56:00,美团外卖,酸辣粉,1,16.4
QZ-20260605-25,2026-06-05 11:03:00,饿了么,招牌拌面,1,22.96
QZ-20260605-26,2026-06-05 12:10:00,堂食,小酥肉,1,26
QZ-20260606-01,2026-06-06 12:18:00,堂食,招牌牛肉面,2,64
QZ-20260606-02,2026-06-06 13:25:00,堂食,红烧肥肠面,1,36
QZ-20260606-03,2026-06-06 10:32:00,美团外卖,番茄鸡蛋面,1,19.68
QZ-20260606-04,2026-06-06 11:39:00,饿了么,酸辣粉,1,20
QZ-20260606-05,2026-06-06 12:46:00,堂食,招牌拌面,1,28
QZ-20260606-06,2026-06-06 13:53:00,堂食,小酥肉,1,26
QZ-20260606-07,2026-06-06 17:00:00,堂食,卤蛋,1,3
QZ-20260606-08,2026-06-06 18:07:00,美团外卖,冰豆浆,1,4.92
QZ-20260606-09,2026-06-06 19:14:00,饿了么,柠檬茶,1,8.2
QZ-20260606-10,2026-06-06 21:21:00,堂食,双人套餐,1,68
QZ-20260606-11,2026-06-06 10:28:00,堂食,招牌牛肉面,1,32
QZ-20260606-12,2026-06-06 11:35:00,堂食,红烧肥肠面,2,72
QZ-20260606-13,2026-06-06 12:42:00,美团外卖,番茄鸡蛋面,1,24
QZ-20260606-14,2026-06-06 13:49:00,饿了么,酸辣粉,1,16.4
QZ-20260606-15,2026-06-06 10:56:00,堂食,招牌拌面,1,28
QZ-20260606-16,2026-06-06 11:03:00,堂食,小酥肉,1,26
QZ-20260606-17,2026-06-06 19:10:00,堂食,卤蛋,1,3
QZ-20260606-18,2026-06-06 20:17:00,美团外卖,冰豆浆,1,4.92
QZ-20260606-19,2026-06-06 17:24:00,饿了么,柠檬茶,1,10
QZ-20260606-20,2026-06-06 21:31:00,堂食,双人套餐,1,68
QZ-20260606-21,2026-06-06 12:38:00,堂食,招牌牛肉面,1,28.8
QZ-20260606-22,2026-06-06 13:45:00,堂食,红烧肥肠面,1,36
QZ-20260606-23,2026-06-06 10:52:00,美团外卖,番茄鸡蛋面,2,39.36
QZ-20260606-24,2026-06-06 11:59:00,饿了么,酸辣粉,1,16.4
QZ-20260606-25,2026-06-06 12:06:00,堂食,招牌拌面,1,28
QZ-20260606-26,2026-06-06 13:13:00,堂食,小酥肉,1,26
QZ-20260606-27,2026-06-06 17:20:00,堂食,卤蛋,1,3
QZ-20260607-01,2026-06-07 13:21:00,堂食,招牌牛肉面,2,64
QZ-20260607-02,2026-06-07 10:28:00,美团外卖,红烧肥肠面,1,29.52
QZ-20260607-03,2026-06-07 11:35:00,饿了么,番茄鸡蛋面,1,24
QZ-20260607-04,2026-06-07 12:42:00,堂食,酸辣粉,1,20
QZ-20260607-05,2026-06-07 13:49:00,堂食,招牌拌面,1,28
QZ-20260607-06,2026-06-07 10:56:00,堂食,小酥肉,1,26
QZ-20260607-07,2026-06-07 18:03:00,美团外卖,卤蛋,1,2.46
QZ-20260607-08,2026-06-07 19:10:00,饿了么,冰豆浆,1,4.92
QZ-20260607-09,2026-06-07 20:17:00,堂食,柠檬茶,1,10
QZ-20260607-10,2026-06-07 21:24:00,堂食,双人套餐,1,68
QZ-20260607-11,2026-06-07 11:31:00,堂食,招牌牛肉面,1,32
QZ-20260607-12,2026-06-07 12:38:00,美团外卖,红烧肥肠面,2,72
QZ-20260607-13,2026-06-07 13:45:00,饿了么,番茄鸡蛋面,1,19.68
QZ-20260607-14,2026-06-07 10:52:00,堂食,酸辣粉,1,20
QZ-20260607-15,2026-06-07 11:59:00,堂食,招牌拌面,1,28
QZ-20260607-16,2026-06-07 12:06:00,堂食,小酥肉,1,26
QZ-20260607-17,2026-06-07 20:13:00,美团外卖,卤蛋,1,2.46
QZ-20260607-18,2026-06-07 17:20:00,饿了么,冰豆浆,1,6
QZ-20260607-19,2026-06-07 18:27:00,堂食,柠檬茶,1,10
QZ-20260607-20,2026-06-07 21:34:00,堂食,双人套餐,1,61.2
QZ-20260607-21,2026-06-07 13:41:00,堂食,招牌牛肉面,1,32
QZ-20260607-22,2026-06-07 10:48:00,美团外卖,红烧肥肠面,1,29.52
QZ-20260607-23,2026-06-07 11:55:00,饿了么,番茄鸡蛋面,2,39.36
QZ-20260607-24,2026-06-07 12:02:00,堂食,酸辣粉,1,20
QZ-20260607-25,2026-06-07 13:09:00,堂食,招牌拌面,1,28
QZ-20260607-26,2026-06-07 10:16:00,堂食,小酥肉,1,26
QZ-20260607-27,2026-06-07 18:23:00,美团外卖,卤蛋,1,3
QZ-20260607-28,2026-06-07 19:30:00,饿了么,冰豆浆,1,4.92
QZ-20260608-01,2026-06-08 10:24:00,美团外卖,招牌牛肉面,2,52.48
QZ-20260608-02,2026-06-08 11:31:00,饿了么,红烧肥肠面,1,36
QZ-20260608-03,2026-06-08 12:38:00,堂食,番茄鸡蛋面,1,24
QZ-20260608-04,2026-06-08 13:45:00,堂食,酸辣粉,1,20
QZ-20260608-05,2026-06-08 10:52:00,堂食,招牌拌面,1,28
QZ-20260608-06,2026-06-08 11:59:00,美团外卖,小酥肉,1,21.32
QZ-20260608-07,2026-06-08 19:06:00,饿了么,卤蛋,1,2.46
QZ-20260608-08,2026-06-08 20:13:00,堂食,冰豆浆,1,6
QZ-20260608-09,2026-06-08 17:20:00,堂食,柠檬茶,1,10
QZ-20260608-10,2026-06-08 21:27:00,堂食,双人套餐,1,68
QZ-20260608-11,2026-06-08 12:34:00,美团外卖,招牌牛肉面,1,32
QZ-20260608-12,2026-06-08 13:41:00,饿了么,红烧肥肠面,2,59.04
QZ-20260608-13,2026-06-08 10:48:00,堂食,番茄鸡蛋面,1,24
QZ-20260608-14,2026-06-08 11:55:00,堂食,酸辣粉,1,20
QZ-20260608-15,2026-06-08 12:02:00,堂食,招牌拌面,1,28
QZ-20260608-16,2026-06-08 13:09:00,美团外卖,小酥肉,1,21.32
QZ-20260608-17,2026-06-08 17:16:00,饿了么,卤蛋,1,3
QZ-20260608-18,2026-06-08 18:23:00,堂食,冰豆浆,1,6
QZ-20260608-19,2026-06-08 19:30:00,堂食,柠檬茶,1,9
QZ-20260608-20,2026-06-08 21:37:00,堂食,双人套餐,1,68
QZ-20260608-21,2026-06-08 10:44:00,美团外卖,招牌牛肉面,1,26.24
QZ-20260608-22,2026-06-08 11:51:00,饿了么,红烧肥肠面,1,29.52
QZ-20260608-23,2026-06-08 12:58:00,堂食,番茄鸡蛋面,2,48
QZ-20260608-24,2026-06-08 13:05:00,堂食,酸辣粉,1,20
QZ-20260608-25,2026-06-08 10:12:00,堂食,招牌拌面,1,28
QZ-20260608-26,2026-06-08 11:19:00,美团外卖,小酥肉,1,26
QZ-20260608-27,2026-06-08 19:26:00,饿了么,卤蛋,1,2.46
QZ-20260608-28,2026-06-08 20:33:00,堂食,冰豆浆,1,6
QZ-20260608-29,2026-06-08 17:40:00,堂食,柠檬茶,1,10
QZ-20260609-01,2026-06-09 11:27:00,饿了么,招牌牛肉面,2,64
QZ-20260609-02,2026-06-09 12:34:00,堂食,红烧肥肠面,1,36
QZ-20260609-03,2026-06-09 13:41:00,堂食,番茄鸡蛋面,1,24
QZ-20260609-04,2026-06-09 10:48:00,堂食,酸辣粉,1,20
QZ-20260609-05,2026-06-09 11:55:00,美团外卖,招牌拌面,1,22.96
QZ-20260609-06,2026-06-09 12:02:00,饿了么,小酥肉,1,21.32
QZ-20260609-07,2026-06-09 20:09:00,堂食,卤蛋,1,3
QZ-20260609-08,2026-06-09 17:16:00,堂食,冰豆浆,1,6
QZ-20260609-09,2026-06-09 18:23:00,堂食,柠檬茶,1,10
QZ-20260609-10,2026-06-09 21:30:00,美团外卖,双人套餐,1,68
QZ-20260609-11,2026-06-09 13:37:00,饿了么,招牌牛肉面,1,26.24
QZ-20260609-12,2026-06-09 10:44:00,堂食,红烧肥肠面,2,72
QZ-20260609-13,2026-06-09 11:51:00,堂食,番茄鸡蛋面,1,24
QZ-20260609-14,2026-06-09 12:58:00,堂食,酸辣粉,1,20
QZ-20260609-15,2026-06-09 13:05:00,美团外卖,招牌拌面,1,22.96
QZ-20260609-16,2026-06-09 10:12:00,饿了么,小酥肉,1,26
QZ-20260609-17,2026-06-09 18:19:00,堂食,卤蛋,1,3
QZ-20260609-18,2026-06-09 19:26:00,堂食,冰豆浆,1,5.4
QZ-20260609-19,2026-06-09 20:33:00,堂食,柠檬茶,1,10
QZ-20260609-20,2026-06-09 21:40:00,美团外卖,双人套餐,1,55.76
QZ-20260609-21,2026-06-09 11:47:00,饿了么,招牌牛肉面,1,26.24
QZ-20260609-22,2026-06-09 12:54:00,堂食,红烧肥肠面,1,36
QZ-20260609-23,2026-06-09 13:01:00,堂食,番茄鸡蛋面,2,48
QZ-20260609-24,2026-06-09 10:08:00,堂食,酸辣粉,1,20
QZ-20260609-25,2026-06-09 11:15:00,美团外卖,招牌拌面,1,28
QZ-20260609-26,2026-06-09 12:22:00,饿了么,小酥肉,1,21.32
QZ-20260609-27,2026-06-09 20:29:00,堂食,卤蛋,1,3
QZ-20260609-28,2026-06-09 17:36:00,堂食,冰豆浆,1,6
QZ-20260609-29,2026-06-09 18:43:00,堂食,柠檬茶,1,10
QZ-20260609-30,2026-06-09 21:50:00,美团外卖,双人套餐,1,55.76
QZ-20260610-01,2026-06-10 12:30:00,堂食,招牌牛肉面,2,64
QZ-20260610-02,2026-06-10 13:37:00,堂食,红烧肥肠面,1,36
QZ-20260610-03,2026-06-10 10:44:00,堂食,番茄鸡蛋面,1,24
QZ-20260610-04,2026-06-10 11:51:00,美团外卖,酸辣粉,1,16.4
QZ-20260610-05,2026-06-10 12:58:00,饿了么,招牌拌面,1,22.96
QZ-20260610-06,2026-06-10 13:05:00,堂食,小酥肉,1,26
QZ-20260610-07,2026-06-10 17:12:00,堂食,卤蛋,1,3
QZ-20260610-08,2026-06-10 18:19:00,堂食,冰豆浆,1,6
QZ-20260610-09,2026-06-10 19:26:00,美团外卖,柠檬茶,1,10
QZ-20260610-10,2026-06-10 21:33:00,饿了么,双人套餐,1,55.76
QZ-20260610-11,2026-06-10 10:40:00,堂食,招牌牛肉面,1,32
QZ-20260610-12,2026-06-10 11:47:00,堂食,红烧肥肠面,2,72
QZ-20260610-13,2026-06-10 12:54:00,堂食,番茄鸡蛋面,1,24
QZ-20260610-14,2026-06-10 13:01:00,美团外卖,酸辣粉,1,16.4
QZ-20260610-15,2026-06-10 10:08:00,饿了么,招牌拌面,1,28
QZ-20260610-16,2026-06-10 11:15:00,堂食,小酥肉,1,26
QZ-20260610-17,2026-06-10 19:22:00,堂食,卤蛋,1,2.7
QZ-20260610-18,2026-06-10 20:29:00,堂食,冰豆浆,1,6
QZ-20260610-19,2026-06-10 17:36:00,美团外卖,柠檬茶,1,8.2
QZ-20260610-20,2026-06-10 21:43:00,饿了么,双人套餐,1,55.76
QZ-20260610-21,2026-06-10 12:50:00,堂食,招牌牛肉面,1,32
QZ-20260610-22,2026-06-10 13:57:00,堂食,红烧肥肠面,1,36
QZ-20260610-23,2026-06-10 10:04:00,堂食,番茄鸡蛋面,2,48
QZ-20260610-24,2026-06-10 11:11:00,美团外卖,酸辣粉,1,20
QZ-20260610-25,2026-06-10 12:18:00,饿了么,招牌拌面,1,22.96
QZ-20260610-26,2026-06-10 13:25:00,堂食,小酥肉,1,26
QZ-20260611-01,2026-06-11 13:33:00,堂食,招牌牛肉面,2,64
QZ-20260611-02,2026-06-11 10:40:00,堂食,红烧肥肠面,1,36
QZ-20260611-03,2026-06-11 11:47:00,美团外卖,番茄鸡蛋面,1,19.68
QZ-20260611-04,2026-06-11 12:54:00,饿了么,酸辣粉,1,16.4
QZ-20260611-05,2026-06-11 13:01:00,堂食,招牌拌面,1,28
QZ-20260611-06,2026-06-11 10:08:00,堂食,小酥肉,1,26
QZ-20260611-07,2026-06-11 18:15:00,堂食,卤蛋,1,3
QZ-20260611-08,2026-06-11 19:22:00,美团外卖,冰豆浆,1,6
QZ-20260611-09,2026-06-11 20:29:00,饿了么,柠檬茶,1,8.2
QZ-20260611-10,2026-06-11 21:36:00,堂食,双人套餐,1,68
QZ-20260611-11,2026-06-11 11:43:00,堂食,招牌牛肉面,1,32
QZ-20260611-12,2026-06-11 12:50:00,堂食,红烧肥肠面,2,72
QZ-20260611-13,2026-06-11 13:57:00,美团外卖,番茄鸡蛋面,1,19.68
QZ-20260611-14,2026-06-11 10:04:00,饿了么,酸辣粉,1,20
QZ-20260611-15,2026-06-11 11:11:00,堂食,招牌拌面,1,28
QZ-20260611-16,2026-06-11 12:18:00,堂食,小酥肉,1,23.4
QZ-20260611-17,2026-06-11 20:25:00,堂食,卤蛋,1,3
QZ-20260611-18,2026-06-11 17:32:00,美团外卖,冰豆浆,1,4.92
QZ-20260611-19,2026-06-11 18:39:00,饿了么,柠檬茶,1,8.2
QZ-20260611-20,2026-06-11 21:46:00,堂食,双人套餐,1,68
QZ-20260611-21,2026-06-11 13:53:00,堂食,招牌牛肉面,1,32
QZ-20260611-22,2026-06-11 10:00:00,堂食,红烧肥肠面,1,36
QZ-20260611-23,2026-06-11 11:07:00,美团外卖,番茄鸡蛋面,2,48
QZ-20260611-24,2026-06-11 12:14:00,饿了么,酸辣粉,1,16.4
QZ-20260611-25,2026-06-11 13:21:00,堂食,招牌拌面,1,28
QZ-20260611-26,2026-06-11 10:28:00,堂食,小酥肉,1,26
QZ-20260611-27,2026-06-11 18:35:00,堂食,卤蛋,1,3
QZ-20260612-01,2026-06-12 10:36:00,堂食,招牌牛肉面,2,64
QZ-20260612-02,2026-06-12 11:43:00,美团外卖,红烧肥肠面,1,29.52
QZ-20260612-03,2026-06-12 12:50:00,饿了么,番茄鸡蛋面,1,19.68
QZ-20260612-04,2026-06-12 13:57:00,堂食,酸辣粉,1,20
QZ-20260612-05,2026-06-12 10:04:00,堂食,招牌拌面,1,28
QZ-20260612-06,2026-06-12 11:11:00,堂食,小酥肉,1,26
QZ-20260612-07,2026-06-12 19:18:00,美团外卖,卤蛋,1,3
QZ-20260612-08,2026-06-12 20:25:00,饿了么,冰豆浆,1,4.92
QZ-20260612-09,2026-06-12 17:32:00,堂食,柠檬茶,1,10
QZ-20260612-10,2026-06-12 21:39:00,堂食,双人套餐,1,68
QZ-20260612-11,2026-06-12 12:46:00,堂食,招牌牛肉面,1,32
QZ-20260612-12,2026-06-12 13:53:00,美团外卖,红烧肥肠面,2,59.04
QZ-20260612-13,2026-06-12 10:00:00,饿了么,番茄鸡蛋面,1,24
QZ-20260612-14,2026-06-12 11:07:00,堂食,酸辣粉,1,20
QZ-20260612-15,2026-06-12 12:14:00,堂食,招牌拌面,1,25.2
QZ-20260612-16,2026-06-12 13:21:00,堂食,小酥肉,1,26
QZ-20260612-17,2026-06-12 17:28:00,美团外卖,卤蛋,1,2.46
QZ-20260612-18,2026-06-12 18:35:00,饿了么,冰豆浆,1,4.92
QZ-20260612-19,2026-06-12 19:42:00,堂食,柠檬茶,1,10
QZ-20260612-20,2026-06-12 21:49:00,堂食,双人套餐,1,68
QZ-20260612-21,2026-06-12 10:56:00,堂食,招牌牛肉面,1,32
QZ-20260612-22,2026-06-12 11:03:00,美团外卖,红烧肥肠面,1,36
QZ-20260612-23,2026-06-12 12:10:00,饿了么,番茄鸡蛋面,2,39.36
QZ-20260612-24,2026-06-12 13:17:00,堂食,酸辣粉,1,20
QZ-20260612-25,2026-06-12 10:24:00,堂食,招牌拌面,1,28
QZ-20260612-26,2026-06-12 11:31:00,堂食,小酥肉,1,26
QZ-20260612-27,2026-06-12 19:38:00,美团外卖,卤蛋,1,2.46
QZ-20260612-28,2026-06-12 20:45:00,饿了么,冰豆浆,1,6
QZ-20260613-01,2026-06-13 11:39:00,美团外卖,招牌牛肉面,2,52.48
QZ-20260613-02,2026-06-13 12:46:00,饿了么,红烧肥肠面,1,29.52
QZ-20260613-03,2026-06-13 13:53:00,堂食,番茄鸡蛋面,1,24
QZ-20260613-04,2026-06-13 10:00:00,堂食,酸辣粉,1,20
QZ-20260613-05,2026-06-13 11:07:00,堂食,招牌拌面,1,28
QZ-20260613-06,2026-06-13 12:14:00,美团外卖,小酥肉,1,26
QZ-20260613-07,2026-06-13 20:21:00,饿了么,卤蛋,1,2.46
QZ-20260613-08,2026-06-13 17:28:00,堂食,冰豆浆,1,6
QZ-20260613-09,2026-06-13 18:35:00,堂食,柠檬茶,1,10
QZ-20260613-10,2026-06-13 21:42:00,堂食,双人套餐,1,68
QZ-20260613-11,2026-06-13 13:49:00,美团外卖,招牌牛肉面,1,26.24
QZ-20260613-12,2026-06-13 10:56:00,饿了么,红烧肥肠面,2,72
QZ-20260613-13,2026-06-13 11:03:00,堂食,番茄鸡蛋面,1,24
QZ-20260613-14,2026-06-13 12:10:00,堂食,酸辣粉,1,18
QZ-20260613-15,2026-06-13 13:17:00,堂食,招牌拌面,1,28
